X,Y,OBJECTID_1,Name,County,Address_Li,City,ZIP,Source,GlobalID,last_edited_date,Subtype,Type
-84.3722676539996,33.7574800560005,49,HOPE HILL ELEMENTARY SCHOOL,Fulton,112 BOULEVARD NE,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,{F785712D-4504-4E22-B210-15032EBD5F0F},2015/01/30 21:10:09+00,School,Garden
-84.3766191849996,33.6728237090004,50,HUMPHRIES ELEMENTARY SCHOOL,Fulton,3029 HUMPHRIES DR SE,ATLANTA,30354,Captain Planet Foundation_ Project Learning Garden,{0CCFAF50-BDE5-4977-AF57-AA238F4AD873},2015/01/30 21:10:09+00,School,Garden
-84.4102080909997,33.6811736940006,51,HUTCHINSON ELEMENTARY SCHOOL,Fulton,650 CLEVELAND AVE SW,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{EA8A2302-9799-4BB8-95AC-8464CC93156F},2015/01/30 21:10:09+00,School,Garden
-84.2895346319997,33.8019405770006,52,INTERNATIONAL COMMUNITY SCHOOL,Dekalb,2418 Wood Trail Lane,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,{C0CC3D2C-397D-49A5-91D9-3221DB684035},2015/01/30 21:10:09+00,School,Garden
-84.3747386619996,33.7678084860004,53,The Intown Academy,Fulton,386 PINE ST NE,ATLANTA,30308,Captain Planet Foundation_ Project Learning Garden,{3DF15DE8-353C-4935-AE12-FD6EEDA9B6B5},2017/02/13 17:10:16+00,School,Garden
-84.2251159219996,33.8105775970006,54,JOLLY ELEMENTARY SCHOOL,Dekalb,1070 OTELLO AVE,CLARKSTON,30021,Captain Planet Foundation_ Project Learning Garden,{01AB52D6-7908-43F4-A549-A0347BF391F8},2015/01/30 21:10:09+00,School,Garden
-84.4951366659996,34.0607022090006,55,KEHELEY ELEMENTARY SCHOOL,Cobb,1985 KEMP RD,MARIETTA,30066,Captain Planet Foundation_ Project Learning Garden,{847EB155-83E5-4707-9A19-4565AE097D1C},2015/01/30 21:10:09+00,School,Garden
-84.7016986699996,33.9322219890005,56,KEMP ELEMENTARY SCHOOL,Cobb,865 CORNER RD,POWDER SPRINGS,30127,Captain Planet Foundation_ Project Learning Garden,{981C529C-2E69-4D77-9C00-F399669A082D},2015/01/30 21:10:09+00,School,Garden
-84.5911872129996,34.0272140170005,57,KENNESAW CHARTER SCHOOL,Cobb,1370 LOCKHART DR NW,KENNESAW,30144,Captain Planet Foundation_ Project Learning Garden,{F083B972-FC16-453D-B74F-0E318CF97A93},2015/01/30 21:10:09+00,School,Garden
-84.4899025549996,33.7028711760005,58,KIMBERLY ELEMENTARY SCHOOL,Fulton,3090 McMurray Dr. SW,Atlanta,30311,Captain Planet Foundation_ Project Learning Garden,{07D77543-0131-43FF-8900-FD81CB5797B7},2015/01/30 21:10:09+00,School,Garden
-84.5108601019996,34.0018570190005,59,KINCAID ELEMENTARY SCHOOL,Cobb,1410 Kincaid Road,Marietta,30066,Captain Planet Foundation_ Project Learning Garden,{6DB5388E-F86D-4924-922C-BC0B54446A69},2015/01/30 21:10:09+00,School,Garden
-84.4512005361416,33.7561615906881,60,KINDEZI School,Fulton,98 ANDERSON AVE NW,ATLANTA,30314,Captain Planet Foundation_ Project Learning Garden,{5184AFE7-5CC9-4BB8-A428-45BD157A16AA},2017/02/13 17:11:53+00,School,Garden
-84.3790645079997,33.7388798290004,61,KING MIDDLE SCHOOL,Fulton,545 HILL ST SE,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,{D89BD83B-A266-4B27-90E5-7F7F7403A109},2015/01/30 21:10:09+00,School,Garden
-84.5235252469996,33.8537570750005,62,KING SPRINGS ELEMENTARY SCHOOL,Cobb,1041 REED RD SE,SMYRNA,30082,Captain Planet Foundation_ Project Learning Garden,{139A5D04-EA23-4CB6-8DB5-2E177B5D6AA5},2015/01/30 21:10:09+00,School,Garden
-84.4351398419997,33.7424022370005,63,KIPP STRIVE PRIMARY SCHOOL,Fulton,1448 LUCILE AVE SW,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,{F146D2E5-D10D-4F3B-A3BA-2762C004E977},2016/06/14 15:50:16+00,School,Garden
-84.1030000309997,33.8863734680004,64,KNIGHT ELEMENTARY SCHOOL,Gwinnett,401 N. River Dr.,Lilburn,30047,Captain Planet Foundation_ Project Learning Garden,{DCCD21BA-41BD-4163-8BB9-B0E593D26409},2015/01/30 21:10:09+00,School,Garden
-84.5541735549996,33.8961440150005,65,LABELLE ELEMENTARY SCHOOL,Cobb,230 CRESSON DR SW,MARIETTA,30060,Captain Planet Foundation_ Project Learning Garden,{1AB6104C-8BC2-4035-9410-0AFDB86D74FF},2015/01/30 21:10:09+00,School,Garden
-84.2768589729995,33.8147172990004,66,LAUREL RIDGE ELEMENTARY SCHOOL,Dekalb,1215 BALSAM DR,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,{017A1724-8BA4-4D90-B85C-ACDC4399A947},2015/01/30 21:10:09+00,School,Garden
-84.4221026019997,33.7489189970004,67,M Agnes Jones Elementary,Fulton,1040 FAIR ST SW,ATLANTA,30314,Captain Planet Foundation_ Project Learning Garden,{BAA81428-DA1F-4E9C-947B-198AFBE24119},2016/06/14 15:54:39+00,School,Garden
-84.5820158279997,33.8257423160004,68,MABLETON ELEMENTARY SCHOOL,Cobb,5220 CHURCH ST SW,MABLETON,30126,Captain Planet Foundation_ Project Learning Garden,{F41DE8DD-5BDF-4615-A41E-70CCAA178285},2015/01/30 21:10:09+00,School,Garden
-84.1536279169997,33.7294696210006,69,Marbut Theme School,Dekalb,5776 Marbut Road,Lithonia,0,Captain Planet Foundation_ Project Learning Garden,{97E84DB8-5DDE-4116-AAFC-7D0136BBCDBE},2015/01/30 21:10:09+00,School,Garden
-84.5249891269997,33.7536827070005,70,Miles Intermediate Elementary,Fulton,4215 Bakers Ferry RD SW,Atlanta,30331,Captain Planet Foundation_ Project Learning Garden,{ACC22115-76C2-41EB-BBD5-2C114A77AAF8},2017/02/13 15:33:58+00,School,Garden
-84.1261817279996,33.9149852700004,71,MINOR ELEMENTARY SCHOOL,Gwinnett,4129 SHADY DR NW,LILBURN,30047,Captain Planet Foundation_ Project Learning Garden,{E5F40696-079B-4BEF-A162-47FDF671845E},2015/01/30 21:10:09+00,School,Garden
-84.3526121069997,33.7972929110005,72,MORNINGSIDE ELEMENTARY SCHOOL,Fulton,1053 E ROCK SPRINGS RD NE,ATLANTA,30306,Captain Planet Foundation_ Project Learning Garden,{9E05BF18-C7E0-47CB-ACEB-1462B44F4507},2015/01/30 21:10:09+00,School,Garden
-84.4189102019997,33.9788416390004,73,MOUNT BETHEL ELEMENTARY SCHOOL,Cobb,1210 JOHNSON FERRY RD,MARIETTA,30068,Captain Planet Foundation_ Project Learning Garden,{48116151-7C64-4117-A5A0-F73640336072},2015/01/30 21:10:09+00,School,Garden
,,74,LAWRENCEVILLE ELEMENTARY SCHOOL,Gwinnett,122 GWINNETT DR,LAWRENCEVILLE,30045,Captain Planet Foundation_ Project Learning Garden,{CC4E2CE9-4009-4C93-8E6A-9E12240EBDDA},2015/01/30 21:10:09+00,School,Garden
-84.3716591579997,33.9246799930005,75,Mount Vernon Presbyterian School,Fulton,471 Mount Vernon Highway,Atlanta,30328,Captain Planet Foundation_ Project Learning Garden,{34A5737D-0AD3-4A18-B14A-B8AD4726955E},2015/01/30 21:10:09+00,School,Garden
-84.2920463769996,33.5546240050004,76,Mt Zion Elementary,Clayton,2984 Mt Zion RD,Jonesboro,30236,Captain Planet Foundation_ Project Learning Garden,{6914CDD9-9DC8-4DC2-B1E8-69010C097AF7},2015/01/30 21:10:09+00,School,Garden
-84.2920463769996,33.5546240050004,77,Mt Zion Primary School,Clayton,2984 Mt Zion Road,Jonesboro,30236,Captain Planet Foundation_ Project Learning Garden,{55C871DE-3870-49CE-B9C5-0002BF8C653E},2015/01/30 21:10:09+00,School,Garden
-84.5175246409996,33.8419851020005,78,NICKAJACK ELEMENTARY SCHOOL,Cobb,4555 MAVELL RD SE,SMYRNA,30082,Captain Planet Foundation_ Project Learning Garden,{AACD28B4-296E-4A38-9C14-686CC47AFBD5},2015/01/30 21:10:09+00,School,Garden
-84.3646652239996,33.7354911290005,79,PARKSIDE ELEMENTARY SCHOOL,Fulton,685 Mercer St. SE,Atlanta,30312,Captain Planet Foundation_ Project Learning Garden,{7BC5BA67-7138-44CB-BE51-AF86A4B82FA1},2015/01/30 21:10:09+00,School,Garden
-84.4765067339996,33.7478165330006,80,PEYTON FOREST ELEMENTARY SCHOOL,Fulton,301 Peyton Forest Road,Atlanta,30311,Captain Planet Foundation_ Project Learning Garden,{7E9040F1-B565-4A7B-8643-FA7DFE29C331},2017/02/13 15:21:00+00,School,Garden
-84.6224289179996,33.6149527020004,81,Renaissance Middle School,Fulton,7155 Hall Road,Fairburn,30213,Captain Planet Foundation_ Project Learning Garden,{CF50BBF5-EDA8-4CD5-A9A6-AA2946392E94},2015/01/30 21:10:09+00,School,Garden
-84.3587153939997,33.9002186590005,82,Ridgeview Charter School,Fulton,5340 S Trimble Rd,Atlanta,30342,Captain Planet Foundation_ Project Learning Garden,{B54A520D-D6C3-48F5-8D0C-E7C8B031F1AD},2015/01/30 21:10:09+00,School,Garden
-84.5629889719996,33.7907186890006,83,Riverside Intermediate School,Cobb,285 S Gordon Road,Mableton,30126,Captain Planet Foundation_ Project Learning Garden,{D8CA366A-AA71-4BF6-9585-0AF5DDA5D9A7},2015/01/30 21:10:09+00,School,Garden
-84.5685160819996,33.7892062870005,84,RIVERSIDE PRIMARY SCHOOL,Cobb,461 S GORDON RD SW,MABLETON,30126,Captain Planet Foundation_ Project Learning Garden,{53A29273-B328-4D05-80C3-532DD32DC4D7},2015/01/30 21:10:09+00,School,Garden
-84.5683654569997,33.8589209010005,85,RUSSELL ELEMENTARY SCHOOL,Cobb,3920 S HURT RD SW,SMYRNA,30082,Captain Planet Foundation_ Project Learning Garden,{F3D1AD48-08B7-4117-8D6F-9B5D385AEC6D},2015/01/30 21:10:09+00,School,Garden
-84.3046718609996,33.8326050290006,86,SAGAMORE HILLS ELEMENTARY SCHOOL,Dekalb,1865 ALDERBROOK RD NE,ATLANTA,30345,Captain Planet Foundation_ Project Learning Garden,{88263413-B3B9-486E-A2AC-45DA390E8478},2015/01/30 21:10:09+00,School,Garden
-84.3718528059996,33.8647963570005,87,Sarah Smith Intermediate,Fulton,4141 Wieuca Rd,Atlanta,30342,Captain Planet Foundation_ Project Learning Garden,{6B076DCE-4544-412F-8798-27B49779342D},2015/01/30 21:10:09+00,School,Garden
-84.3743986419997,33.8576725970004,88,Sarah Smith Primary School,Fulton,370 Old Ivy Road,Atlanta,30342,Captain Planet Foundation_ Project Learning Garden,{7539004D-6A6A-4500-AF24-757C0A8C67C8},2015/01/30 21:10:09+00,School,Garden
-84.4371461159997,34.0328497450005,89,SHALLOWFORD FALLS ELEMENTARY SCHOOL,Cobb,3529 LASSITER RD,MARIETTA,30062,Captain Planet Foundation_ Project Learning Garden,{21811A52-7D4C-47B5-97CD-7BE247A0C51A},2015/01/30 21:10:09+00,School,Garden
-84.3932452169997,33.7186131560005,90,SLATER ELEMENTARY SCHOOL,Fulton,1320 PRYOR RD SW,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{3A05561F-885C-4D7E-A8E7-A50FA78290DE},2015/01/30 21:10:09+00,School,Garden
-84.5214286909995,33.8894606870006,91,Smyrna Elementary,Cobb,1099 Fleming Street,Smyrna,30080,Captain Planet Foundation_ Project Learning Garden,{1E2B405B-72CF-4107-B6EB-49CC6AD7F926},2015/01/30 21:10:09+00,School,Garden
-84.3468254999996,33.7744965920005,92,SPRINGDALE PARK ELEMENTARY SCHOOL,Dekalb,1246 PONCE DE LEON AVE NE,ATLANTA,30306,Captain Planet Foundation_ Project Learning Garden,{3C242963-DB31-4913-A1CE-7C5AFB27FF26},2015/01/30 21:10:09+00,School,Garden
-84.6620865459996,33.9327397470005,93,STILL ELEMENTARY SCHOOL,Cobb,870 CASTEEL RD,POWDER SPRINGS,30127,Captain Planet Foundation_ Project Learning Garden,{70A057D5-B97E-43BB-B09A-49446946CD65},2015/01/30 21:10:09+00,School,Garden
-84.2312224689996,33.8817267240005,94,Tapestry Public Charter,Dekalb,4046 Chamblee Tucker Road,Atlanta,30340,Captain Planet Foundation_ Project Learning Garden,{A610C384-D8C2-4FE5-B40C-B62CC59DE3A7},2015/01/30 21:10:09+00,School,Garden
-84.4174138527829,33.7868210089881,95,The Howard School,Fulton,1192 Foster St NW,Atlanta,30318,Captain Planet Foundation_ Project Learning Garden,{0BE45612-11F9-4D3A-9F13-1896674807C9},2015/01/30 21:10:09+00,School,Garden
-84.3000229779996,34.0698879720006,96,The Lionheart School,Fulton,225 Roswell Street,Alpharetta,30009,Captain Planet Foundation_ Project Learning Garden,{AB72CAEB-5ADA-4C03-9FB6-3FCE654A87C8},2015/01/30 21:10:09+00,School,Garden
-84.2712868799996,33.7676754410006,97,The Museum School,Dekalb,923 Forrest Blvd,Decatur,30030,Captain Planet Foundation_ Project Learning Garden,{7937AD27-B1BC-49D1-88BC-B2CC4567F013},2015/01/30 21:10:09+00,School,Garden
-84.3290024919997,33.7551375390005,98,TOOMER ELEMENTARY SCHOOL,Dekalb,65 ROGERS ST NE,ATLANTA,30317,Captain Planet Foundation_ Project Learning Garden,{8F34B090-83DD-46CA-8B8F-3CFCA942C053},2015/01/30 21:10:09+00,School,Garden
-84.4209180549997,34.0166027960005,99,Tritt Elementary,Cobb,4435 Post Oak Tritt Road,Marietta,30062,Captain Planet Foundation_ Project Learning Garden,{18F6C01E-9455-45A9-B214-A25160709CFC},2015/01/30 21:10:09+00,School,Garden
-84.2134358489996,33.8474939530004,100,TUCKER MIDDLE SCHOOL,Dekalb,2160 IDLEWOOD RD,TUCKER,30084,Captain Planet Foundation_ Project Learning Garden,{039814CE-6A47-40FA-B991-E49928197724},2015/01/30 21:10:09+00,School,Garden
-84.4953961929996,33.7721869830004,101,Usher-Collier Heights Elementary,Fulton,631 Harwell Road,Atlanta,30318,Captain Planet Foundation_ Project Learning Garden,{E1BC2242-284A-4225-B865-8705D349AA58},2015/01/30 21:10:09+00,School,Garden
